date_disclosed,country,ifc_country_code,sector,project_name,project_number,company_name,status,risk_management_investment,guarantee_investment,loan_investment,equity_investment,total_investment
2017-01-25T00:00:00Z,Latin America Region,LAC,Infrastructure,Orazul Energia,38489,ORAZUL ENERGIA PARTNERS LLC,Active,NA,NA,NA,50,50
2017-01-24T00:00:00Z,Mexico,MXC,Financial Institutions,Contigo I,38960,CEGE CAPITAL SAPI DE CV SOFOM ENR,Active,0.26,NA,6.93,NA,7.19
2017-01-18T00:00:00Z,India,IND,Infrastructure,ESIP Blackbuck,39420,ZINKA LOGISTICS SOLUTIONS PRIVATE LIMITED,Active,NA,NA,NA,10,10
2017-01-18T00:00:00Z,Argentina,ARG,Financial Institutions,CMF CL,38918,BANCO CMF S.A.,Active,NA,NA,40,NA,40
2017-01-13T00:00:00Z,Zambia,ZAM,Infrastructure,SS Zambia 2,38685,NEOEN INTERNATIONAL,Active,3,NA,14,NA,17
2017-01-12T00:00:00Z,Lao People's Democratic Republic,LAO,Financial Institutions,ABL Lao Kip II,39141,ACLEDA BANK LAO LTD,Active,NA,9.08,NA,NA,9.08
2017-01-12T00:00:00Z,Greece,GRE,"Tourism, Retail, and Property",Grivalia Properties REIC,38285,GRIVALIA PROPERTIES REIC AE,Active,NA,NA,53.24,NA,53.24
2017-01-09T00:00:00Z,South Africa,SOU,Agribusiness and Forestry,Bounty,38743,BOUNTY BRANDS,Active,NA,NA,22,NA,22
2017-01-09T00:00:00Z,Morocco,MYC,Financial Institutions,DCM BCP Green Financing,38717,BANQUE CENTRALE POPULAIRE SA,Active,NA,NA,112.13,NA,112.13
2017-01-06T00:00:00Z,Jordan,JOR,Infrastructure,Xenel Wind Jordan,35348,Abour Energy Company,Active,2,NA,28,NA,30
2016-12-24T00:00:00Z,Brazil,BRA,Infrastructure,Loggi Technology International,39134,LOGGI TECHNOLOGY INTERNATIONAL,Active,NA,NA,NA,5,5
2016-12-23T00:00:00Z,Mozambique,MOZ,Infrastructure,Nacala Corridor,34466,CORREDOR LOGISTICO INTEGRADO DE NACALA SA,Pending Approval,NA,NA,NA,NA,NA
2016-12-23T00:00:00Z,Georgia,GEO,Health and Education,Aversi Pharma,37574,AVERSI-PHARMA LTD,Active,NA,NA,16.43,NA,16.43
2016-12-22T00:00:00Z,Mexico,MXC,Agribusiness and Forestry,Norson II,37803,"Norson Holding, S. de R.L. de C.V.",Completed,NA,NA,14.01,NA,14.01
2016-12-22T00:00:00Z,China,CHA,Infrastructure,Chint New Energy,38815,CHINT SOLAR (HONG KONG) COMPANY LIMITED,Active,NA,NA,50,NA,50
2016-12-22T00:00:00Z,Brazil,BRA,Financial Institutions,Bankfacil BKF,39165,CREDITAS SOLUCOES FINANCEIRAS LTDA,Active,NA,NA,2.5,5,7.5
2016-12-22T00:00:00Z,Indonesia,INS,Financial Institutions,BTPN MSME Loan,38934,PT BANK BTPN TBK,Active,NA,NA,100,NA,100
2016-12-14T00:00:00Z,Cambodia,KAM,Financial Institutions,HKL senior 2017,39167,HATTHA KAKSEKAR LIMITED,Active,NA,NA,NA,NA,NA
2016-12-14T00:00:00Z,Colombia,CLM,Financial Institutions,BCB GreenBondDCM,38731,BANCOLOMBIA SA,Active,NA,NA,117.12,NA,117.12
2016-12-14T00:00:00Z,Guatemala,GUA,Financial Institutions,BI Regional,39011,Banco Industrial SA,Pending Approval,NA,NA,110,NA,110
2016-12-13T00:00:00Z,Indonesia,INS,Financial Institutions,Radana Finance,38586,PT. RADANA BHASKARA FINANCE TBK,Active,1.5,NA,20,NA,21.5
2016-12-10T00:00:00Z,Romania,ROM,Financial Institutions,Alpha Bank RO,38414,ALPHA BANK ROMANIA SA,Active,NA,NA,53.76,NA,53.76
2016-12-07T00:00:00Z,Turkey,TUR,Health and Education,Elazig Health,38035,ELZ SAGLIK YATIRIM ANONIM SIRKETI,Active,NA,NA,87.64,NA,87.64
2016-12-07T00:00:00Z,Bulgaria,BUL,Health and Education,AHG Bulgaria,38066,ACIBADEM CITY CLINIC B.V.,Active,NA,NA,NA,16.13,16.13
2016-12-07T00:00:00Z,Benin,BEN,Financial Institutions,RSF Benin Tourism,38159,RSF Benin Tourism,Active,NA,20,NA,NA,20
2016-12-03T00:00:00Z,Turkey,TUR,Funds,ATF I,36631,Abraaj Turkey Fund I LP,Active,NA,NA,NA,40,40
2016-11-30T00:00:00Z,Argentina,ARG,Financial Institutions,Recargapay,36814,RECARGAPAY HOLDINGS INC.,Active,NA,NA,NA,7,7
2016-11-30T00:00:00Z,Colombia,CLM,Financial Institutions,BMM Bond,38847,BANCO MUNDO MUJER SA,Active,NA,NA,27.66,NA,27.66
2016-11-29T00:00:00Z,El Salvador,ESL,Financial Institutions,FDC III,37719,Federacion de Cajas de Credito y de Bancos de los Trabajadores SC de RL,Active,NA,NA,15,NA,15
2016-11-29T00:00:00Z,World Region,WLD,Financial Institutions,Bayport,37771,BAYPORT MANAGEMENT LTD,Pending Approval,1,NA,NA,NA,1
2016-11-28T00:00:00Z,Kenya,KEN,Financial Institutions,Kenya Commercial Bank Limited,36791,KCB GROUP LIMITED,Active,NA,NA,75,70,145
2016-11-22T00:00:00Z,World Region,WLD,Funds,"SOSV III, L.P.",38299,"SOSV III, L.P.",Active,NA,NA,NA,30,30
2016-11-22T00:00:00Z,Brazil,BRA,Health and Education,Intermedica,38612,NOTRE DAME INTERMEDICA SAUDE SA,Pending Approval,NA,NA,75,NA,75
2016-11-22T00:00:00Z,Panama,PAN,Financial Institutions,Bandelta Sr. Loan II,38805,Banco Delta S.A.,Active,NA,NA,10,NA,10
2016-11-18T00:00:00Z,Argentina,ARG,Agribusiness and Forestry,Los Grobo Equity,38193,GRUPO LOS GROBO LLC,Active,NA,NA,NA,50,50
2016-11-18T00:00:00Z,Turkey,TUR,Financial Institutions,FIT Solutions,38569,FIT SOLUTIONS,Active,NA,NA,NA,5,5
2016-11-17T00:00:00Z,"Egypt, Arab Republic of",EGT,Financial Institutions,AXA Egypt Insurance,36979,AXA EGYPT INVESTMENTS SAE,Active,NA,NA,NA,15.5,15.5
2016-11-17T00:00:00Z,China,CHA,Infrastructure,GuiYang HuoCheBang,39207,GUIYANG HUOCHEBANG,Active,NA,NA,NA,15,15
2016-11-15T00:00:00Z,Latin America Region,LAC,Funds,Jaguar RE Fund I,38939,JAGUAR REAL ESTATE PARTNERS L.P.,Active,NA,NA,NA,25,25
2016-11-14T00:00:00Z,Mexico,MXC,Agribusiness and Forestry,Proteak Exp,38754,"PROTEAK UNO, S.A.B. DE C.V.",Active,NA,NA,37,NA,37
2016-11-11T00:00:00Z,"Hong Kong SAR, China",HKG,Financial Institutions,CompareAsia,38728,COMPAREASIAGROUP CAPITAL LIMITED,Active,NA,NA,NA,15,15
2016-11-09T00:00:00Z,Rwanda,RWA,Financial Institutions,WFP KCB Rwanda,37371,WFP PPP Rwanda Borrowers,Active,NA,1.22,NA,NA,1.22
2016-11-08T00:00:00Z,Tanzania,TAN,Financial Institutions,WFP CRDB Tanzania,37374,WFP PPP Tanzania Borrowers RSF,Active,NA,2.91,NA,NA,2.91
2016-11-07T00:00:00Z,Greece,GRE,Infrastructure,Greek Airports,37655,FRAPORT REGIONAL AIRPORTS OF GREECE A SOCIETE ANONYME,Active,6.5,NA,175.68,55.83,238.01
2016-11-07T00:00:00Z,Greece,GRE,Infrastructure,Greek Airports B,38905,FRAPORT REGIONAL AIRPORTS OF GREECE B S.A.,Active,6.5,NA,175.68,55.83,238.01
2016-11-03T00:00:00Z,Kenya,KEN,"Tourism, Retail, and Property",Maris: ALP,38583,AFRICA LOGISTICS PROPERTIES HOLDINGS LTD,Active,NA,NA,NA,10,10
2016-11-02T00:00:00Z,Singapore,SNG,Funds,ISC Jungle SeedPlus,38844,SEEDPLUS SINGAPORE L.P.,Active,NA,NA,NA,30,30
2016-10-27T00:00:00Z,Argentina,ARG,Funds,City of BA,38533,CIUDAD AUTONOMA DE BUENOS AIRES,Active,NA,NA,50,NA,50
2016-10-27T00:00:00Z,World Region,WLD,Financial Institutions,Actis Energy 4,38809,ACTIS ENERGY FUND 4,Active,NA,NA,NA,50,50
2016-10-24T00:00:00Z,Ghana,GHA,Financial Institutions,CAL Bank SME,38415,CAL BANK LIMITED,Active,NA,5,15,NA,20
2016-10-24T00:00:00Z,Eastern Africa Region,EAN,Funds,Catalyst II,38648,"CATALYST FUND II, LLC",Active,NA,NA,NA,15,15
2016-10-20T00:00:00Z,Poland,POL,Financial Institutions,BZ WBK green facility,38703,SANTANDER BANK POLSKA S.A.,Active,NA,NA,150,NA,150
2016-10-18T00:00:00Z,Mexico,MXC,"Telecommunications, Media, and Technology",WaveCatcher,38474,Company Name Pending,Active,NA,NA,NA,40,40
2016-10-18T00:00:00Z,Vietnam,VNM,Health and Education,VUS Training,38740,EAGLE HOLDINGS PTE LTD,Active,NA,NA,NA,10,10
2016-10-12T00:00:00Z,Turkey,TUR,Financial Institutions,FinansL EE III,38496,QNB FINANS FINANSAL KIRALAMA ANONIM SIRKETI,Active,NA,NA,50,NA,50
2016-10-11T00:00:00Z,Tanzania,TAN,Infrastructure,CTIF Mobisol Coinvest,38784,MOBISOL GMBH,Active,NA,NA,NA,5.94,5.94
2016-10-03T00:00:00Z,China,CHA,Agribusiness and Forestry,Guangxi Yangxiang Co Ltd,38720,GUANGXI YANGXIANG CO LTD,Active,NA,NA,43.58,7.7,51.28
2016-10-03T00:00:00Z,Eastern Africa Region,EAN,Funds,Fanisi Capital Fund II LLC,38752,FANISI CAPITAL FUND II LLC,Active,NA,NA,NA,250,250
2016-09-29T00:00:00Z,Pakistan,PAK,Infrastructure,Tricon Boston Consulting Corporation Pvt. Limited,38229,TRICONBOSTON CONSULTING CORPORATION (PVT) LTD,Active,NA,NA,75,NA,75
2016-09-29T00:00:00Z,Panama,PAN,Financial Institutions,DCM Multibank,38570,Multibank Inc.,Active,NA,NA,40,NA,40
2016-09-23T00:00:00Z,Mali,MLI,Infrastructure,Segou Solaire,35853,SEGOU SOLAIRE SA,Pending Approval,5.28,NA,11.4,4.56,21.24
2016-09-23T00:00:00Z,Argentina,ARG,Financial Institutions,Moni,38704,FINVEN LATAM INC,Active,NA,NA,NA,3,3
2016-09-22T00:00:00Z,Uganda,UAN,Infrastructure,Umeme Capex II,38598,UMEME LTD,Active,NA,NA,25,NA,25
2016-09-20T00:00:00Z,Brazil,BRA,Financial Institutions,Daycoval Gender,36812,Banco Daycoval S/A.,Active,NA,NA,75,NA,75
2016-09-20T00:00:00Z,Burkina Faso,BUR,Infrastructure,Windiga BF,36857,ZINA SOLAIRE SA,Pending Approval,2.2,NA,10.32,NA,12.52
2016-09-20T00:00:00Z,Madagascar,MAG,Infrastructure,Airports Madagascar,36882,Ravinala Airports,Active,10.65,NA,138.42,NA,149.07
2016-09-20T00:00:00Z,Indonesia,INS,Manufacturing,PT Aneka Gas Industri Tbk,38908,"ANEKA GAS INDUSTRI, PT",Active,NA,NA,NA,11.04,11.04
2016-09-15T00:00:00Z,China,CHA,Financial Institutions,PSBC Equity,35461,Postal Savings Bank of China,Active,NA,NA,NA,300,300
2016-09-15T00:00:00Z,China,CHA,Funds,Maison China III,38818,MAISON CAPITAL FUND L.P.,Active,NA,NA,NA,20,20
2016-09-09T00:00:00Z,Brazil,BRA,Financial Institutions,ABC Climate,37960,BANCO ABC BRASIL SA,Active,NA,NA,50,NA,50
2016-09-09T00:00:00Z,Ukraine,UKR,Infrastructure,MV Cargo,37312,MV Cargo LLC,Active,NA,NA,37,NA,37
2016-09-09T00:00:00Z,Myanmar,BUA,Agribusiness and Forestry,Bel Ga Myanmar,38236,BEL GA MYANMAR LIMITED,Active,NA,NA,7.5,NA,7.5
2016-09-08T00:00:00Z,South Africa,SOU,Health and Education,Doppio,36211,ADVTECH LTD,Active,NA,NA,NA,20.93,20.93
2016-09-08T00:00:00Z,Mongolia,MNG,"Tourism, Retail, and Property",Shangri-La UB 2,37908,SHANGRI-LA ULAANBAATAR HOTEL LLC,Active,NA,NA,75,NA,75
2016-09-07T00:00:00Z,Myanmar,BUA,"Tourism, Retail, and Property",Amata Hotels,37848,UNITED INTERNATIONAL GROUP LIMITED,Active,NA,NA,13.5,NA,13.5
2016-09-06T00:00:00Z,Africa Region,AFR,"Telecommunications, Media, and Technology",WIOCC Investment,38381,WEST INDIAN OCEAN CABLE COMPANY LTD,Active,NA,NA,20,NA,20
2016-09-02T00:00:00Z,China,CHA,Financial Institutions,Baidu MCC Loan,38237,CHONGQING BAIDU MICROLOAN CO LTD,Active,NA,NA,73.82,NA,73.82
2016-09-02T00:00:00Z,Colombia,CLM,Financial Institutions,BancompartirBond,38352,BANCO COMPARTIR S A,Hold,NA,NA,17.28,NA,17.28
2016-09-02T00:00:00Z,Costa Rica,COS,Financial Institutions,Scotiabank Costa Rica SME and Housing Loan,38424,SCOTIABANK DE COSTA RICA SA,Active,NA,NA,75,NA,75
2016-09-01T00:00:00Z,India,IND,Financial Institutions,Au Fin Debt,36838,AU SMALL FINANCE BANK LIMITED,Active,NA,NA,50,NA,50
2016-08-29T00:00:00Z,Philippines,PHL,Funds,Sierra Madre Fund I,38633,SIERRA MADRE PHILIPPINES FUND I,Active,NA,NA,NA,15,15
2016-08-26T00:00:00Z,Kenya,KEN,Health and Education,MCF Africa,37873,MEDICAL CREDIT FUND,Active,NA,NA,2.5,NA,2.5
2016-08-25T00:00:00Z,Turkey,TUR,Financial Institutions,Akbank DPR 2,38166,AKBANK TURK ANONIM SIRKETI,Active,NA,NA,440,NA,440
2016-08-24T00:00:00Z,Kenya,KEN,Agribusiness and Forestry,Tropical Heat,38225,TROPICAL HEAT LIMITED,Pending Approval,NA,NA,3,NA,3
2016-08-23T00:00:00Z,India,IND,Infrastructure,HFE Equity,37910,HERO FUTURE ENERGIES PRIVATE LIMITED,Active,NA,NA,NA,62.5,62.5
2016-08-19T00:00:00Z,Mexico,MXC,"Tourism, Retail, and Property",Vinte-NuEDGE,38374,"Promotora de Viviendas Integrales, S.A. de C.V.",Active,NA,NA,18.62,NA,18.62
2016-08-18T00:00:00Z,World Region,WLD,Manufacturing,Yara Corporate,38320,Yara International ASA,Active,NA,NA,150,NA,150
2016-08-18T00:00:00Z,Mexico,MXC,"Oil, Gas, and Mining",CalidraArgentina,38366,"Grupo Calidra, S.A. de C.V.",Completed,NA,NA,31.43,NA,31.43
2016-08-17T00:00:00Z,Turkey,TUR,Financial Institutions,DCM Seker CB 2,38428,SEKERBANK TAS,Active,NA,NA,60,NA,60
2016-08-16T00:00:00Z,China,CHA,Agribusiness and Forestry,Anyou II,36905,"Anyou Biotechnology Group Co.,Ltd.",Active,NA,NA,38.39,NA,38.39
2016-08-15T00:00:00Z,China,CHA,Funds,Hosen Investment Fund III,38599,"HOSEN INVESTMENT FUND III, L.P.",Active,NA,NA,NA,30,30
2016-08-15T00:00:00Z,China,CHA,Funds,Long Hill,38790,"LONG HILL CAPITAL VENTURE PARTNERS 1, L.P.",Active,NA,NA,NA,15,15
2016-08-12T00:00:00Z,Latin America Region,LAC,Health and Education,SeniorAssist LAC,38334,SENIORITY CHILE SA,Active,NA,NA,NA,10,10
2016-08-12T00:00:00Z,United Arab Emirates,UAE,Financial Institutions,Network Intl,38399,WP MERCURY HOLDINGS B.V.,Active,NA,NA,NA,17,17
2016-08-08T00:00:00Z,Uzbekistan,UZB,Financial Institutions,ULI SME 2016,37749,JOINT-STOCK COMPANY UZBEK LEASING INTERNATIONAL AO,Active,NA,NA,5,NA,5
2016-08-05T00:00:00Z,Turkey,TUR,Manufacturing,Martur,38025,MARTUR SUNGER VE KOLTUK TESISLERI TICARET VE SANAYI ANONIM SIRKETI,Active,NA,NA,NA,32.86,32.86
2016-08-01T00:00:00Z,Belarus,BLR,"Tourism, Retail, and Property",Eurotorg,35769,Evrotorg OOO,Completed,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,World Region,WLD,Financial Institutions,GTLP SCB III,38705,STANDARD CHARTERED PLC,Active,NA,NA,500,NA,500
2016-07-28T00:00:00Z,Georgia,GEO,Financial Institutions,BGEO Bonds,38541,GEORGIA CAPITAL PLC,Active,NA,NA,70,NA,70
2016-07-22T00:00:00Z,World Region,WLD,Financial Institutions,Remitly,36516,"Remitly, Inc.",Completed,NA,NA,NA,5,5
2016-07-22T00:00:00Z,India,IND,Health and Education,Byju's,38562,THINK & LEARN PRIVATE LIMITED,Active,NA,NA,NA,15,15
2016-07-18T00:00:00Z,Botswana,BOT,Financial Institutions,Botswana Building Society,35107,Botswana Building Society,Active,NA,NA,25,15,40
2016-07-15T00:00:00Z,Jordan,JOR,Infrastructure,ACWA Power Zarqa Thermal Power Station,38207,MAHATAT AL ZARQA LE TAWLEED AL TAKAH AL KAHRABAIEYAH,Active,6,NA,75,NA,81
2016-07-15T00:00:00Z,World Region,WLD,Funds,Capria Acc. Fund,38604,"CAPRIA ACELARATOR FUND, LP.",Completed,NA,NA,NA,250,250
2016-07-13T00:00:00Z,Latin America Region,LAC,Funds,Certo S.A.,38523,CERTO S.A.,Active,NA,NA,NA,30,30
2016-07-08T00:00:00Z,Argentina,ARG,"Telecommunications, Media, and Technology",Telecom Personal Argentina,36171,TELECOM ARGENTINA S.A.,Active,NA,NA,100,NA,100
2016-07-08T00:00:00Z,China,CHA,Health and Education,Essex Bio,38104,ESSEX BIO-TECHNOLOGY LIMITED,Active,NA,NA,19.31,NA,19.31
2016-07-07T00:00:00Z,Mexico,MXC,Agribusiness and Forestry,Bioparques 3,37826,"Bioparques de Occidente, S.A. de C.V.",Active,NA,NA,10,NA,10
2016-07-01T00:00:00Z,Ghana,GHA,Financial Institutions,Fidelity A Loan,37327,Fidelity Bank Ghana Limited,Completed,NA,NA,NA,NA,NA
2016-06-30T00:00:00Z,China,CHA,Agribusiness and Forestry,Muyuan Loan 3,38272,"MUYUAN FOOD CO., LTD.",Pending Approval,NA,NA,39.14,NA,39.14
2016-06-29T00:00:00Z,Pakistan,PAK,Agribusiness and Forestry,CCI Pakistan,37922,COCA COLA BEVERAGES PAKISTAN LIMITED,Active,NA,NA,83.57,NA,83.57
2016-06-29T00:00:00Z,Central America Region,XCN,"Tourism, Retail, and Property",ISCH III,38164,"INTERNATIONAL SHOPPING CENTERS HOLDINGS, INC-ISC",Active,NA,NA,45,NA,45
2016-06-27T00:00:00Z,Turkey,TUR,Agribusiness and Forestry,Odeabank Equity,37925,ODEA BANK ANONIM SIRKETI,Active,NA,NA,NA,75,75
2016-06-24T00:00:00Z,Armenia,ARM,Infrastructure,Vorotan Debt,37652,CONTOURGLOBAL HYDRO CASCADE CJSC,Active,2.9,NA,50,NA,52.9
2016-06-17T00:00:00Z,Singapore,SNG,Financial Institutions,United Asia Loan Funding,36792,UOB ASSET MANAGEMENT LTD,Pending Approval,NA,NA,NA,NA,NA
2016-06-15T00:00:00Z,India,IND,Health and Education,Glenmark,38371,GLENMARK PHARMACEUTICALS LIMITED,Active,NA,NA,75,NA,75
2016-06-09T00:00:00Z,Latin America Region,LAC,Financial Institutions,LAAD IV,37802,LATIN AMERICAN AGRIBUSINESS DEVELOPMENT CORP SA,Active,NA,NA,50,NA,50
2016-06-09T00:00:00Z,Kenya,KEN,Financial Institutions,Equity Bank II,38419,EQUITY GROUP HOLDINGS PLC,Active,NA,NA,82.5,NA,82.5
2016-06-06T00:00:00Z,Pakistan,PAK,Funds,Abraaj Pakistan,37484,ABRAAJ PAKISTAN FUND I L.P.,Active,NA,NA,NA,20,20
2016-06-03T00:00:00Z,India,IND,"Tourism, Retail, and Property",FCEL,37943,FUTURE CONSUMER LIMITED,Active,NA,NA,0,19.92,19.92
2016-06-02T00:00:00Z,Turkey,TUR,Infrastructure,Akfen Energy,36772,AKFEN YENILENEBILIR ENERJI A.S.,Active,NA,NA,NA,100,100
2016-06-02T00:00:00Z,"Egypt, Arab Republic of",EGT,Funds,Algebra Ventures Fund I,37639,ALGEBRA VENTURES,Active,NA,NA,NA,10,10
2016-06-02T00:00:00Z,Costa Rica,COS,Financial Institutions,Davivienda CR II,38501,Banco Davivienda (Costa Rica) S.A.,Active,NA,NA,30,NA,30
2016-06-01T00:00:00Z,Vietnam,VNM,Agribusiness and Forestry,Bel Ga JSC,38011,BEL GA JSC,Active,NA,NA,4,NA,4
2016-06-01T00:00:00Z,Thailand,THL,Financial Institutions,TMB SF,38574,TMB BANK PUBLIC COMPANY LIMITED,Hold,NA,NA,NA,NA,NA
2016-05-27T00:00:00Z,Bangladesh,BAN,Infrastructure,Summit Mezzanine,37593,SUMMIT POWER INTERNATIONAL PTE LTD,Active,NA,NA,65,0,65
2016-05-24T00:00:00Z,South Africa,SOU,Health and Education,Ascendis,38257,ASCENDIS HEALTH LIMITED,Active,NA,NA,NA,30,30
2016-05-19T00:00:00Z,India,IND,Health and Education,Apollo Specialty,37895,APOLLO HEALTH AND LIFESTYLE LIMITED,Active,NA,NA,NA,33.34,33.34
2016-05-17T00:00:00Z,Brazil,BRA,Agribusiness and Forestry,Cerradinho Bio,35523,CERRADINHO BIOENERGIA SA,Active,NA,NA,49,NA,49
2016-05-17T00:00:00Z,Myanmar,BUA,"Telecommunications, Media, and Technology",Irrawaddy Towers,35935,IRRAWADDY GREEN TOWERS LTD,Pending Approval,NA,NA,42.5,10,52.5
2016-05-17T00:00:00Z,Argentina,ARG,Agribusiness and Forestry,Adeco Agropecuaria Argentina,36054,ADECO AGROPECUARIA S.A.,Active,NA,NA,50,NA,50
2016-05-17T00:00:00Z,Poland,POL,Financial Institutions,Zachodni WBK,38099,SANTANDER LEASING S.A.,Active,NA,NA,150,NA,150
2016-05-16T00:00:00Z,India,IND,Financial Institutions,Grameen Koota Financial Services,35181,CREDITACCESS GRAMEEN LIMITED,Active,NA,NA,20,NA,20
2016-05-16T00:00:00Z,Bosnia and Herzegovina,BIH,Manufacturing,SSL Bosnia IV,37515,SISECAM SODA LUKAVAC DOO,Active,NA,NA,10,NA,10
2016-05-13T00:00:00Z,South Africa,SOU,Agribusiness and Forestry,Number Two Piggeries (Pty) Ltd,37907,NUMBER TWO PIGGERIES (PROPRIETARY) LIMITED,Pending Approval,NA,NA,NA,NA,NA
2016-05-13T00:00:00Z,Senegal,SEN,Infrastructure,CG CdB II,38113,CG CAP DES BICHES SENEGAL,Active,4,NA,NA,NA,4
2016-05-13T00:00:00Z,Myanmar,BUA,"Tourism, Retail, and Property",Oway Group,38400,OWAY COMPANY LIMITED,Active,NA,NA,NA,2,2
2016-05-11T00:00:00Z,Eastern Africa Region,EAN,Agribusiness and Forestry,Nespresso East African Coffee Project,36083,NESPRESSO SUSTAINABILITY INNOVATION FUND,Completed,NA,NA,3,NA,3
2016-05-11T00:00:00Z,Latin America Region,LAC,Funds,Abraaj ALAF II,38042,COLONY LATIN AMERICA FUND II L.P.,Active,NA,NA,NA,20,20
2016-05-09T00:00:00Z,Western Africa Region,WAN,Funds,Oasis AfricaFund,37988,OASIS AFRICA VC FUND LIMITED,Active,NA,NA,NA,250,250
2016-05-06T00:00:00Z,Mexico,MXC,Manufacturing,Cemex Green,37840,"CEMEX, S.A.B. DE C.V",Completed,NA,NA,120,NA,120
2016-05-06T00:00:00Z,Cambodia,KAM,Funds,CLMDF II,37898,CAMBODIA-LAOS-MYANMAR DEVELOPMENT FUND II LP,Active,NA,NA,NA,250,250
2016-05-05T00:00:00Z,"Egypt, Arab Republic of",EGT,Infrastructure,Delta Solar,37636,DELTA FOR RENEWABLE ENERGY SAE,Active,1,NA,19,NA,20
2016-05-05T00:00:00Z,"Egypt, Arab Republic of",EGT,Infrastructure,Taqa Arabia Solar,37637,TAQA ARABIA FOR SOLAR ENERGY S.A.E.,Active,1,NA,23,NA,24
2016-05-05T00:00:00Z,"Egypt, Arab Republic of",EGT,Infrastructure,SECI Benban 3 Winnergy,37713,WINNERGY FOR RENEWABLE ENERGY PROJECTS S.A.E.,Active,0.5,NA,21,NA,21.5
2016-05-04T00:00:00Z,"Egypt, Arab Republic of",EGT,Infrastructure,SECI-DT Benban 1 - ARC,37580,ARC FOR RENEWABLE ENERGY SAE,Active,1,NA,23,NA,24
2016-05-04T00:00:00Z,"Egypt, Arab Republic of",EGT,Infrastructure,Phoenix Power1,37591,PHOENIX POWER 1 SAE,Active,1,NA,24,NA,25
2016-05-04T00:00:00Z,"Egypt, Arab Republic of",EGT,Infrastructure,Alcazar Solar 1,37633,ALCAZAR ENERGY EGYPT SOLAR 1,Active,1,NA,19,NA,20
2016-05-03T00:00:00Z,India,IND,Financial Institutions,Repco HFL,37630,REPCO HOME FINANCE LIMITED,Active,NA,NA,40,NA,40
2016-04-29T00:00:00Z,Cote d'Ivoire,IVC,Financial Institutions,SIMPA CI,38053,SOCIETE INDUSTRIELLE MODERNE DES PLASTIQUES AFRICAINS SA,Active,NA,NA,16.73,NA,16.73
2016-04-29T00:00:00Z,Eastern Europe Region,EER,Agribusiness and Forestry,Soufflet LT,38083,SOUFFLET FINANCES,Active,NA,NA,34.19,NA,34.19
2016-04-28T00:00:00Z,Ukraine,UKR,Agribusiness and Forestry,Astarta FMO loan,38157,"ASTARTA-KYIV,TOV",Completed,NA,NA,10,NA,10
2016-04-27T00:00:00Z,Mexico,MXC,Financial Institutions,Vector Mezzanine Mexico Uno,38101,"MEZZANINE MEXICO UNO, S.A.P.I. DE C.V., SOFOM, E.N.R.",Active,NA,NA,22.65,NA,22.65
2016-04-27T00:00:00Z,Pakistan,PAK,Agribusiness and Forestry,Anagram Equity,38150,Koninklijke FrieslandCampina N.V.,Active,NA,NA,111.52,44.61,156.13
2016-04-27T00:00:00Z,Zambia,ZAM,Financial Institutions,Zoona,38220,ZOONA TRANSACTIONS INTERNATIONAL LTD,Active,NA,NA,NA,6,6
2016-04-26T00:00:00Z,"Egypt, Arab Republic of",EGT,"Tourism, Retail, and Property",Hassan Allam 1,37831,HASSAN ALLAM CONSTRUCTION,Pending Approval,NA,NA,10,20,30
2016-04-25T00:00:00Z,Iraq,IRQ,Manufacturing,Karbala Cement Manufacturing Limited,32206,KARBALA CEMENT MANUFACTURING LTD.,Completed,NA,NA,100,50,150
2016-04-25T00:00:00Z,Vietnam,VNM,Financial Institutions,TPB Quasi Equity,37920,TIEN PHONG COMMERCIAL JOINT STOCK BANK,Active,NA,NA,NA,18.35,18.35
2016-04-25T00:00:00Z,Lebanon,LEB,Financial Institutions,Vitas Leb II,38049,VITAS SAL,Active,NA,NA,4,NA,4
2016-04-25T00:00:00Z,Ukraine,UKR,Agribusiness and Forestry,Agrofusion WC Loan,38058,FE INTEGRATED AGROSYSTEMS,Active,NA,NA,10,NA,10
2016-04-25T00:00:00Z,Africa Region,AFR,Financial Institutions,ALCB Fund,38139,AFRICAN LOCAL CURRENCY BOND FUND LIMITED,Active,NA,NA,20,NA,20
2016-04-22T00:00:00Z,Turkey,TUR,Manufacturing,Assan Aluminium,37550,ASSAN ALUMINYUM SANAYI VE TICARET ANONIM SIRKETI,Active,NA,NA,56.99,NA,56.99
2016-04-22T00:00:00Z,Argentina,ARG,Financial Institutions,PATAGONIA CL II,38119,BANCO PATAGONIA S.A.,Active,NA,NA,50,NA,50
2016-04-22T00:00:00Z,Latin America Region,LAC,Funds,500 Mexico II,38263,500 LUCHADORES II LP,Active,NA,NA,NA,30,30
2016-04-21T00:00:00Z,West Bank and Gaza,XOT,Financial Institutions,Faten II,35149,PALESTINE FOR CREDIT AND DEVELOPMENT,Active,NA,NA,5,NA,5
2016-04-21T00:00:00Z,World Region,WLD,Financial Institutions,DARP Global AGM,37035,Seta Holdco S.A R.L.,Active,NA,NA,462.5,37.5,500
2016-04-20T00:00:00Z,Georgia,GEO,Health and Education,Georgia Healthcare Group,37824,GEORGIA HEALTHCARE GROUP JSC,Active,NA,NA,25,NA,25
