LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube,CurrentJobTitleSelect,MLMethodNextYearSelect,WorkChallengeFrequencyPolitics,WorkChallengeFrequencyUnusedResults,WorkChallengeFrequencyUnusefulInstrumenting,WorkChallengeFrequencyDeployment,WorkChallengeFrequencyDirtyData,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyPass,WorkChallengeFrequencyIntegration,WorkChallengeFrequencyTalent,WorkChallengeFrequencyDataFunds,WorkChallengeFrequencyDomainExpertise,WorkChallengeFrequencyML,WorkChallengeFrequencyTools,WorkChallengeFrequencyExpectations,WorkChallengeFrequencyITCoordination,WorkChallengeFrequencyHiringFunds,WorkChallengeFrequencyPrivacy,WorkChallengeFrequencyScaling,WorkChallengeFrequencyEnvironments,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,WorkChallengeFrequencyOtherSelect,WorkInternalVsExternalTools,FormalEducation,Age,DataScienceIdentitySelect,JobSatisfaction
NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,NA,NA,Very useful,Very useful,NA,NA,Somewhat useful,NA,Bayesian Methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,37,Sort of (Explain more),NA
NA,Very useful,Somewhat useful,NA,Very useful,NA,Very useful,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,NA,NA,Very useful,Engineer,Text Mining,NA,NA,NA,NA,Most of the time,NA,NA,NA,Often,NA,Often,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,More internal than external,Bachelor's degree,23,No,9
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Scientist,Association Rules,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,More internal than external,Master's degree,30,NA,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Other,Proprietary Algorithms,NA,NA,Often,NA,NA,NA,NA,NA,Most of the time,Often,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,31,No,1 - Highly Dissatisfied
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,Entirely internal,Master's degree,23,Yes,10 - Highly Satisfied
NA,Somewhat useful,Somewhat useful,NA,NA,Somewhat useful,Very useful,NA,NA,NA,Somewhat useful,Very useful,NA,NA,NA,NA,Somewhat useful,Somewhat useful,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional degree,25,No,NA
NA,NA,Very useful,Somewhat useful,NA,Very useful,Somewhat useful,Very useful,NA,Very useful,Very useful,NA,NA,Very useful,NA,NA,Very useful,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,28,Yes,NA
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Somewhat useful,Somewhat useful,Not Useful,NA,NA,NA,NA,Other,Time Series Analysis,Most of the time,Most of the time,Sometimes,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,More internal than external,Some college/university study without earning a bachelor's degree,36,No,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA
Very useful,Very useful,NA,NA,Very useful,Very useful,Somewhat useful,Very useful,NA,Somewhat useful,NA,Very useful,Somewhat useful,Very useful,Very useful,NA,NA,Very useful,Machine Learning Engineer,Survival Analysis,NA,NA,NA,Often,Most of the time,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,Most of the time,NA,NA,Often,NA,Entirely internal,Doctoral degree,41,No,10 - Highly Satisfied
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Scientist,Neural Nets,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Master's degree,26,NA,6
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,NA,Somewhat useful,Programmer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,24,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,Very useful,NA,NA,NA,Business Analyst,Cluster Analysis,Often,Often,NA,NA,Most of the time,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,More external than internal,Master's degree,30,Yes,8
NA,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,Data Analyst,Monte Carlo Methods,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Approximately half internal and half external,Master's degree,45,Yes,2
Very useful,Somewhat useful,Very useful,NA,NA,Somewhat useful,NA,NA,Somewhat useful,Very useful,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,Computer Scientist,Deep learning,Often,NA,NA,NA,NA,NA,NA,NA,NA,Often,Often,NA,NA,Often,NA,Often,NA,NA,NA,NA,NA,NA,Approximately half internal and half external,Master's degree,29,No,6
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Somewhat useful,Very useful,DBA/Database Engineer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,26,Sort of (Explain more),NA
NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,Very useful,NA,NA,Very useful,Other,Deep learning,Most of the time,NA,Often,NA,NA,Often,NA,Often,Sometimes,NA,Often,NA,NA,NA,NA,NA,NA,Most of the time,Most of the time,NA,Most of the time,NA,Entirely internal,Master's degree,33,Sort of (Explain more),4
NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,Somewhat useful,Very useful,NA,Somewhat useful,Somewhat useful,NA,NA,Very useful,Software Developer/Software Engineer,Genetic & Evolutionary Algorithms,Often,NA,NA,NA,Sometimes,Sometimes,NA,NA,Most of the time,NA,Sometimes,NA,Sometimes,NA,NA,NA,NA,NA,NA,Often,NA,NA,Entirely internal,Master's degree,32,No,3
NA,Somewhat useful,NA,NA,Somewhat useful,NA,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,NA,Very useful,Somewhat useful,NA,Somewhat useful,Data Miner,Text Mining,NA,Sometimes,NA,NA,Most of the time,Often,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Professional degree,35,Yes,10 - Highly Satisfied
NA,Somewhat useful,Very useful,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,Text Mining,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,20,No,NA
Somewhat useful,Somewhat useful,NA,Somewhat useful,Somewhat useful,NA,NA,NA,NA,NA,NA,Very useful,NA,Somewhat useful,NA,NA,NA,NA,Data Scientist,"Ensemble Methods (e.g. boosting, bagging)",NA,NA,NA,NA,Often,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,Often,NA,Entirely internal,Master's degree,30,NA,9
Very useful,NA,Very useful,NA,Very useful,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Other,Genetic & Evolutionary Algorithms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,34,Yes,NA
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,NA,Very useful,NA,Very useful,Somewhat useful,NA,NA,Somewhat useful,Data Analyst,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,50,No,NA
NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,Time Series Analysis,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approximately half internal and half external,Master's degree,55,Yes,I prefer not to share
NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,Very useful,NA,Very useful,Very useful,NA,NA,Very useful,Data Scientist,Deep learning,NA,NA,NA,NA,NA,Sometimes,NA,NA,Most of the time,NA,Sometimes,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,Do not know,Doctoral degree,55,NA,7
NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,Very useful,NA,NA,Very useful,Very useful,NA,NA,NA,Other,Deep learning,NA,NA,NA,NA,Often,Most of the time,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Bachelor's degree,24,Yes,8
NA,Very useful,NA,NA,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,NA,Very useful,Very useful,NA,Very useful,Somewhat useful,NA,NA,Somewhat useful,Other,Social Network Analysis,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Doctoral degree,30,Yes,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA
NA,NA,Somewhat useful,Very useful,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Somewhat useful,Somewhat useful,NA,NA,NA,NA,Factor Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,24,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,Very useful,Data Scientist,Deep learning,Often,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,Entirely internal,Master's degree,27,NA,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Programmer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarely,NA,NA,NA,NA,NA,Bachelor's degree,48,Yes,1 - Highly Dissatisfied
Very useful,NA,NA,Very useful,Very useful,Somewhat useful,Somewhat useful,NA,NA,NA,Very useful,NA,Somewhat useful,NA,Very useful,NA,NA,Very useful,Data Scientist,Deep learning,NA,NA,NA,Sometimes,Often,Often,NA,NA,NA,NA,NA,Often,NA,Sometimes,Sometimes,NA,Sometimes,Often,NA,Rarely,NA,NA,Entirely internal,Doctoral degree,34,NA,8
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,Software Developer/Software Engineer,Deep learning,Often,NA,NA,NA,Sometimes,Sometimes,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,Most of the time,Sometimes,NA,Entirely internal,Master's degree,31,Yes,8
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,Very useful,NA,NA,Very useful,Business Analyst,Deep learning,Most of the time,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,Entirely internal,Master's degree,31,Sort of (Explain more),4
NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,Very useful,Very useful,Very useful,NA,Very useful,NA,NA,Very useful,Very useful,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,23,Sort of (Explain more),NA
NA,Very useful,NA,NA,Somewhat useful,NA,NA,NA,NA,Somewhat useful,Somewhat useful,Very useful,NA,Very useful,NA,NA,NA,NA,Scientist/Researcher,Bayesian Methods,NA,Most of the time,NA,NA,Often,Often,NA,NA,Often,NA,NA,NA,NA,Often,NA,NA,NA,NA,Sometimes,Often,Sometimes,NA,Do not know,Doctoral degree,43,No,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Data Scientist,Deep learning,Often,NA,NA,NA,Often,Sometimes,NA,NA,Often,NA,NA,NA,NA,Sometimes,Often,NA,NA,NA,NA,NA,NA,NA,More external than internal,Master's degree,NA,NA,3
NA,Very useful,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,NA,NA,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,23,Yes,NA
NA,Somewhat useful,NA,NA,Very useful,Very useful,NA,Somewhat useful,NA,Very useful,NA,Somewhat useful,Somewhat useful,Somewhat useful,NA,NA,NA,Somewhat useful,Other,Social Network Analysis,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More external than internal,Doctoral degree,30,Sort of (Explain more),8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Machine Learning Engineer,Neural Nets,Most of the time,Often,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,30,Sort of (Explain more),6
NA,NA,NA,NA,NA,Very useful,Very useful,NA,Somewhat useful,Somewhat useful,Very useful,NA,NA,Very useful,NA,NA,Somewhat useful,Very useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,21,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,23,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,24,No,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Data Scientist,Deep learning,NA,NA,NA,NA,Most of the time,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approximately half internal and half external,Master's degree,24,NA,7
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,Very useful,Somewhat useful,NA,Very useful,NA,Data Scientist,I don't plan on learning a new ML/DS method,Sometimes,Sometimes,NA,NA,Most of the time,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,Sometimes,NA,NA,Most of the time,Sometimes,NA,More internal than external,Doctoral degree,40,NA,6
Somewhat useful,NA,Very useful,Very useful,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,Very useful,Very useful,NA,NA,NA,Scientist/Researcher,Regression,NA,Often,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Approximately half internal and half external,Master's degree,32,Yes,1 - Highly Dissatisfied
NA,NA,Somewhat useful,Somewhat useful,Very useful,NA,Somewhat useful,NA,Very useful,NA,Very useful,Very useful,NA,Somewhat useful,Somewhat useful,NA,NA,NA,Scientist/Researcher,"Ensemble Methods (e.g. boosting, bagging)",NA,NA,Often,NA,Most of the time,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,Most of the time,Most of the time,NA,More internal than external,Doctoral degree,32,Yes,9
NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Business Analyst,Neural Nets,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,More external than internal,Master's degree,NA,Yes,8
Very useful,NA,NA,NA,Somewhat useful,NA,Very useful,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Engineer,Text Mining,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,22,No,NA
Somewhat useful,NA,Very useful,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Data Analyst,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,Sometimes,NA,NA,NA,NA,Most of the time,NA,NA,More internal than external,Doctoral degree,27,No,7
Not Useful,Very useful,Somewhat useful,NA,Not Useful,NA,Somewhat useful,NA,NA,NA,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,NA,Somewhat useful,Very useful,Machine Learning Engineer,Other,Often,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,Sometimes,Sometimes,NA,NA,NA,NA,Sometimes,Most of the time,NA,Sometimes,Most of the time,NA,More external than internal,Bachelor's degree,25,Sort of (Explain more),3
NA,Somewhat useful,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,Somewhat useful,Somewhat useful,Software Developer/Software Engineer,I don't plan on learning a new ML/DS method,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,28,Sort of (Explain more),NA
NA,Very useful,Very useful,NA,NA,Very useful,Very useful,NA,NA,NA,Very useful,Very useful,NA,Very useful,NA,NA,NA,Very useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,21,No,NA
NA,NA,Very useful,NA,Not Useful,NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,Somewhat useful,NA,NA,NA,NA,Data Scientist,Neural Nets,NA,NA,NA,NA,Most of the time,Often,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Often,Often,NA,NA,NA,Often,NA,More internal than external,Master's degree,27,NA,9
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,Very useful,NA,NA,NA,Very useful,Data Analyst,Decision Trees,NA,NA,NA,Sometimes,Often,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,Most of the time,NA,NA,More internal than external,Some college/university study without earning a bachelor's degree,47,Sort of (Explain more),8
NA,Very useful,NA,NA,NA,NA,Very useful,Somewhat useful,NA,Somewhat useful,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,Anomaly Detection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,23,No,NA
Very useful,Very useful,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,Very useful,NA,NA,Very useful,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,Often,NA,Often,NA,NA,NA,NA,Entirely internal,Bachelor's degree,27,Yes,7
Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Very useful,NA,Very useful,Somewhat useful,Scientist/Researcher,Bayesian Methods,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Do not know,Doctoral degree,27,Yes,8
Somewhat useful,Somewhat useful,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Scientist/Researcher,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Do not know,Bachelor's degree,27,Sort of (Explain more),7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,24,Yes,NA
NA,NA,NA,NA,NA,Somewhat useful,Somewhat useful,NA,NA,NA,Very useful,Very useful,NA,Somewhat useful,Very useful,NA,NA,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,22,Sort of (Explain more),NA
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,Very useful,NA,Support Vector Machines (SVM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,27,Sort of (Explain more),NA
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,Very useful,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,29,Yes,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,Very useful,Statistician,Random Forests,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Rarely,NA,NA,NA,NA,NA,Sometimes,NA,More internal than external,Doctoral degree,48,Yes,8
NA,NA,Somewhat useful,Somewhat useful,Not Useful,NA,Very useful,NA,NA,Somewhat useful,Very useful,Somewhat useful,NA,Very useful,Somewhat useful,NA,NA,NA,Data Scientist,"Ensemble Methods (e.g. boosting, bagging)",NA,NA,NA,NA,Most of the time,NA,NA,NA,Sometimes,Rarely,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,Often,NA,NA,More internal than external,Bachelor's degree,30,NA,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Data Analyst,NA,NA,Often,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Bachelor's degree,35,Sort of (Explain more),NA
Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Researcher,Bayesian Methods,NA,Often,NA,NA,NA,Often,NA,NA,NA,Often,NA,NA,Often,Most of the time,NA,NA,Most of the time,NA,NA,Most of the time,Most of the time,NA,Entirely internal,Doctoral degree,38,Yes,7
Very useful,Somewhat useful,NA,NA,Very useful,NA,Very useful,Very useful,Very useful,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,"Ensemble Methods (e.g. boosting, bagging)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,33,No,NA
NA,NA,NA,Somewhat useful,Very useful,NA,Somewhat useful,NA,NA,NA,Very useful,Very useful,Not Useful,Very useful,NA,NA,NA,Very useful,Computer Scientist,Deep learning,Often,Often,Often,NA,Most of the time,Sometimes,NA,Often,Sometimes,NA,Often,NA,NA,NA,Often,NA,Most of the time,NA,NA,Most of the time,NA,NA,More internal than external,Master's degree,40,No,8
Somewhat useful,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,Very useful,NA,NA,NA,Somewhat useful,Software Developer/Software Engineer,Other,NA,Often,NA,NA,Most of the time,Often,NA,NA,Most of the time,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Master's degree,48,No,3
Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,NA,NA,Very useful,NA,Somewhat useful,Very useful,Somewhat useful,Very useful,NA,Very useful,Somewhat useful,NA,NA,Somewhat useful,Researcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More external than internal,Bachelor's degree,24,Sort of (Explain more),7
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,Very useful,Very useful,NA,Very useful,NA,NA,NA,NA,NA,Social Network Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,23,No,NA
